metabolite	mz_expected	name	empCpd	Feature_ID	ion_relation		DmPA_Lucas_cellpellets_IV4	DmPA_Lucas_cellpellets_IV5	DmPA_Lucas_cellpellets_IV6	DmPA_Lucas_cellpellets_IV10	DmPA_Lucas_cellpellets_IV11	DmPA_Lucas_cellpellets_IV12	DmPA_Lucas_cellpellets_IV22	DmPA_Lucas_cellpellets_IV23	DmPA_Lucas_cellpellets_IV24	DmPA_Lucas_cellpellets_IV34	DmPA_Lucas_cellpellets_IV35	DmPA_Lucas_cellpellets_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
C00149	295.1055639786327	L-Malate_dmpa*1	kp215_295.1055	F10106	M0,ACN	
C00149	295.1055639786327	L-Malate_dmpa*1	kp215_295.1055	F13638	M0,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F4794	13C/12C*4,M+H+	500	20.25512518018653	19.469772977625706	20.672866654467697	21.886701335187738	21.41770913023065	20.41131169017387	14.42104699277552	14.42104699277552	17.81988199452791	14.42104699277552	14.42104699277552	14.42104699277552	F4794	254.121	394.75	74	1.9935667485629412e-05	0.9851203957554395	0.004050676689969349	0.04580366982184926	0.12260539789694602	0.4226497308103746
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F17657	13C/12C,Na/H	2017	17.33101948295632	16.842722055261525	18.89818221897563	23.00209467070976	22.557881210731477	14.31129598000934	14.31129598000934	14.31129598000934	16.63316730165349	14.31129598000934	19.720904203503565	19.84925335264097	F17657	273.094	396.19	12	0.1981760538611161	0.1550473203970827	0.5898024001605107	0.061189819114183336	0.5091158034306422	0.2524636331055959
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F4137	13C/12C*3,M+H+	452	24.78083130819644	24.500647829324485	24.802777610239783	25.54139401311602	25.230362425762102	24.92569227399206	23.299410059665497	23.20773178786322	23.587983029128203	23.66531200919188	23.09983605360033	22.519624560553243	F4137	253.1181	394.75	65	3.984938291200473e-05	0.5804892211397743	0.010123452726689883	0.001013630631531333	0.07413938621868503	0.507225531838959
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F3236	13C/12C*2,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F7506	M0,HCl	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F17110	M0,Na/H	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F2649	13C/12C,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp15_249.1004	F8152	13C/12C,HCl	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F17103	M0,Na/H	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F1792	13C/12C*5,Na/H	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F4132	13C/12C*3,M+H+	447	23.21004971638401	22.939057528704502	23.292586893744726	23.742897414991376	23.623958518171616	23.226449211234197	20.879298619328843	21.26444118187355	21.78252842026497	22.02284435760843	21.357774625094173	21.34970166358388	F4132	253.1181	373.48	5	3.044933838711219e-06	0.11362243453011461	0.003011541110493431	0.010698617621008258	0.12150428376315742	0.4802620902463515
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F3235	13C/12C*2,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F2643	13C/12C,M+H+	
C00022	249.1000639786327	Pyruvate_dmpa*1	kp279_249.1001	F17654	13C/12C,Na/H	2016	21.35543598339169	18.729288252988237	18.729288252988237	23.459706636907335	22.766925847739746	18.729288252988237	21.26231100124442	18.729288252988237	21.05121369212453	18.729288252988237	22.061793672593534	21.52248879461091	F17654	273.094	373.35	25	0.9492763039706715	0.27110802818101515	0.6531526832810199	0.5675743184514941	0.31233601058982363	0.7640758341179634
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F54977	13C/12C*2,Na/H	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F39460	13C/12C*3,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F38663	13C/12C*2,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F37144	M0,M+H+	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F53385	M0,Na/H	
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F54334	13C/12C,Na/H	6664	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	17.23407159005775	26.499095986339807	19.55599219819812	26.53599936859372	17.23407159005775	F54334	480.1821	422.59	171	0.1106708285014903	0.8461039090418454	0.3000113896779272	0.4226497308103745		0.8595570148670661
C00149	456.1896279572654	L-Malate_dmpa*1	kp3202_456.1896	F37904	13C/12C,M+H+	4509	15.176803379666206	15.176803379666206	15.176803379666206	18.78739297852557	19.1441905958223	20.545395551475103	19.333902977154622	15.176803379666206	27.569194479108837	23.658120067769502	27.67067565832008	15.176803379666206	F37904	458.199	422.72	128	0.13569353527660344	0.2765601787763107	0.5440944818997039	0.2690075154065356	0.015106598272793483	0.7899023462242065
