metabolite	mz_expected	name	empCpd	Feature_ID	ion_relation		DmPA_Lucas_cellmedia_IV7	DmPA_Lucas_cellmedia_IV8	DmPA_Lucas_cellmedia_IV9	DmPA_Lucas_cellmedia_IV13	DmPA_Lucas_cellmedia_IV14	DmPA_Lucas_cellmedia_IV15	DmPA_Lucas_cellmedia_IV28	DmPA_Lucas_cellmedia_IV29	DmPA_Lucas_cellmedia_IV30	DmPA_Lucas_cellmedia_IV40	DmPA_Lucas_cellmedia_IV41	DmPA_Lucas_cellmedia_IV42	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
C00149	295.1055639786327	L-Malate_dmpa*1	kp2628_295.1051	F31588	M0,M+H+	8794	24.578427313068094	22.58976312082317	25.32327039477146	25.377234107617134	24.862039403153183	25.934868225562845	24.64727779504569	25.818308994029387	22.88706233598721	26.10361478920936	22.606663429271403	25.877265070287702	F31588	296.1122	385.56	93	0.8825388664031287	0.32970760016380957	0.6907418330996068	0.8197121233907922	0.26848674133104944	0.786615398174127
C00149	295.1055639786327	L-Malate_dmpa*1	kp2628_295.1051	F33254	13C/12C,M+H+	9297	16.80973550417541	16.80973550417541	20.798276161832007	21.25667859912904	16.80973550417541	22.714489937465675	19.318983162994385	22.106846294737608	16.80973550417541	22.743920862490786	16.80973550417541	22.173556757064485	F33254	297.1153	385.69	48	0.6229705758224946	0.31980431271348575	0.9090841501930105	0.5647706741894232	0.3971327219766206	0.6582172137278495
C00149	295.1055639786327	L-Malate_dmpa*1	kp2628_295.1051	F12976	M0,Na/H	3543	22.080565505960607	17.531718547588653	22.619267421735355	23.197233776907225	17.531718547588653	23.874411913250675	17.531718547588653	23.152116949916397	17.531718547588653	24.49590562785844	17.531718547588653	24.150015609006097	F12976	318.0951	385.82	308	0.8325234164929117	0.3809138381106696	0.8710088392487966	0.617566400683331	0.7750935584762424	0.41941309245952396
C00149	295.1055639786327	L-Malate_dmpa*1	kp2629_295.1048	F31590	M0,M+H+	8796	25.9730431424683	28.5657429283972	26.400030022846057	26.904351935792395	28.346169169028485	27.18156649659701	27.406240506473942	26.53382743248597	24.99367676376482	26.085581943297417	28.308192118023847	26.19007895250829	F31590	296.1122	434.14	4972	0.34409306651627847	0.43632841911256803	0.5156486045693346	0.5660620743620695	0.6234357720486139	0.615263530073308
C00149	295.1055639786327	L-Malate_dmpa*1	kp2629_295.1048	F33255	13C/12C,M+H+	9298	19.142825590899484	25.682521007029223	23.611950449476332	23.78332260527407	25.271514494333573	23.68401505779652	24.56795135627207	23.56664533384481	19.142825590899484	22.288026155876626	25.27023820423481	19.142825590899484	F33255	297.1153	434.27	57884	0.44662783904058045	0.6900662613902143	0.3743863923441562	0.8869697807915713	0.539120056149457	0.9408096448530693
C00197	347.07696397863265	3-Phospho-D-glycerate_dmpa*1	kp1272_347.0778	F14697	13C/12C,M+H+	3999	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	F14697	349.0886	465.26	466	0.3154465138011166	0.6087170316973567				
C00197	347.07696397863265	3-Phospho-D-glycerate_dmpa*1	kp1272_347.0778	F14215	M0,M+H+	
C00631	347.07696397863265	D-Glycerate 2-phosphate_dmpa*1	kp1272_347.0778	F14697	13C/12C,M+H+	3999	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	19.675620941799583	F14697	349.0886	465.26	466	0.3154465138011166	0.6087170316973567				
C00631	347.07696397863265	D-Glycerate 2-phosphate_dmpa*1	kp1272_347.0778	F14215	M0,M+H+	
C00186	251.11576397863269	L-Lactate_dmpa*1	kp25_251.116	F152	13C/12C,Na/H	55	18.9406466440003	18.9406466440003	18.9406466440003	18.9406466440003	18.9406466440003	18.9406466440003	18.9406466440003	27.026546839259534	18.9406466440003	18.9406466440003	18.9406466440003	18.9406466440003	F152	275.1101	381.75	32	0.3434363961379127	0.3434363961379139		0.4226497308103745		0.4226497308103745
C00186	251.11576397863269	L-Lactate_dmpa*1	kp25_251.116	F149	13C/12C,Na/H	53	28.316832032510163	29.19178550220211	27.95885803645222	24.526848140667926	27.88975776060037	24.771369248356333	28.618345410643027	22.20492028451634	27.690154954953407	25.708553133265152	26.22965629506113	24.90833826583514	F149	275.1084	381.62	824	0.3222643881266318	0.18709533089809408	0.9284804685834545	0.36624240417975057	0.11375022337535759	0.8091108090753247
C00186	251.11576397863269	L-Lactate_dmpa*1	kp25_251.116	F7459	13C/12C*3,M+H+	2042	29.297797301794606	31.78262496420716	29.22899263254948	22.95018030695668	28.04335164382098	24.07073591998913	13.438558150911788	27.481376452593747	13.438558150911788	24.332866702736258	25.88830037038004	22.839845998264547	F7459	255.1328	381.62	43	0.06771500339900934	0.8542104388724987	0.7309835166577809	0.12045569699512078	0.06091051614932805	0.3133781496820507
C00186	251.11576397863269	L-Lactate_dmpa*1	kp25_251.116	F6543	13C/12C*5,Na/H	1805	22.829542345234422	21.09502236779992	23.64424407852284	23.89506177988065	21.991376067976105	22.923458757012146	22.25517462124704	23.45924697348527	23.602400397037435	15.09342452017944	22.2044187703584	23.34020775390095	F6543	279.1228	380.83	44	0.47017315811867455	0.40541232933756166	0.4025841661233147	0.5462588526900435	0.6818164310286243	0.3788252285614114
