metabolite	mz_neutral	name	empCpd	Feature_ID	ion_relation		DmPA_Lucas_cellmedia_IV4	DmPA_Lucas_cellmedia_IV5	DmPA_Lucas_cellmedia_IV6	DmPA_Lucas_cellmedia_IV10	DmPA_Lucas_cellmedia_IV11	DmPA_Lucas_cellmedia_IV12	DmPA_Lucas_cellmedia_IV22	DmPA_Lucas_cellmedia_IV23	DmPA_Lucas_cellmedia_IV24	DmPA_Lucas_cellmedia_IV34	DmPA_Lucas_cellmedia_IV35	DmPA_Lucas_cellmedia_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
C00016	785.1571	Flavin adenine dinucleotide oxidized	kp10209_785.1574	F31326	M0,HCl, 2x charged	8712	23.780161579676037	23.72871955927279	23.851167732657466	23.18051640838172	23.3445144528997	23.927826801149305	23.850215291585577	23.575736895329356	24.280462273795067	23.66603310068495	23.490041171646546	24.40950710333555	F31326	411.3217	585.68	1067	0.2577502491133205	0.4080301080237747	0.3655533326107152	0.6320597558933697	0.31313926040591045	0.8999358643840272
C00016	785.1571	Flavin adenine dinucleotide oxidized	kp10209_785.1574	F32398	M0,M+H+, 2x charged	
C00149	295.1055639786327	L-Malate_dmpa*1	kp2628_295.1051	F31588	M0,M+H+	8794	25.770352715120747	25.815518680488303	24.95380109003292	24.424164811454776	23.883422659492204	24.93615812283832	25.440455896307533	25.37762077910324	25.813382429068664	26.16417926018541	26.276776229700804	26.19748249579961	F31588	296.1122	385.56	93	0.03145571526801429	0.5646573707597093	0.02621098209646245	0.9281156550773648	0.056873584513533644	0.03277606791783343
C00149	295.1055639786327	L-Malate_dmpa*1	kp2628_295.1051	F33254	13C/12C,M+H+	9297	22.2443243747006	22.26567711590413	16.80973550417541	19.13165355217775	16.80973550417541	21.64090125697893	20.468767767513416	16.80973550417541	22.17530088987593	22.74894237086733	23.02902590111281	22.815335866603583	F33254	297.1153	385.69	48	0.3345357128123272	0.561844828182057	0.11864940198348617	0.8091663578044593	0.6170173135958161	0.1938069419904102
C00149	295.1055639786327	L-Malate_dmpa*1	kp2628_295.1051	F12976	M0,Na/H	3543	22.97382083484309	23.43775616733747	17.531718547588653	17.531718547588653	17.531718547588653	22.981100767411775	23.02367653612812	22.6110302970211	23.398658572561125	24.50484810451705	24.528531020090757	24.375156396821485	F12976	318.0951	385.82	308	0.03425543722601994	0.856800941330075	0.10604461101486727	0.465764897610322	0.4956644975845678	0.019830519303354603
C00149	295.1055639786327	L-Malate_dmpa*1	kp2629_295.1048	F31590	M0,M+H+	8796	26.099295747358088	27.37782198974571	27.07329431429403	28.722396971603292	28.97717275859871	26.604296001666903	26.13060474037889	26.02647229206394	27.282170222507293	26.535454314589707	26.223820567692258	26.61765810978894	F31590	296.1122	434.14	4972	0.07151863829846065	0.24339309315899366	0.15760361449765203	0.5426914748879417	0.23584378052471036	0.9644280692935678
C00149	295.1055639786327	L-Malate_dmpa*1	kp2629_295.1048	F33255	13C/12C,M+H+	9298	22.78237048429678	24.572106608722287	23.927838123193474	25.951808904259472	26.25107449228387	23.66298103439377	22.90119594891537	22.718473981598564	24.214316344652485	19.142825590899484	21.46475169190178	24.013987906891455	F33255	297.1153	434.27	57884	0.06291474421751854	0.9186034735664869	0.09880677176312117	0.5310299789636136	0.20276648670093203	0.3430154790574363
C00042	279.1106639786327	Succinate_dmpa*1	kp42_279.1104	F11306	13C/12C*2,M+H+	3110	16.005274666921096	16.005274666921096	16.005274666921096	16.005274666921096	19.618266005448238	16.005274666921096	18.327185214948763	16.005274666921096	16.005274666921096	16.005274666921096	16.005274666921096	16.005274666921096	F11306	282.1238	386.21	115	0.780989720283689	0.7809897202836851	0.42264973081037427	0.42264973081037416	0.42264973081037427	0.42264973081037416
C00042	279.1106639786327	Succinate_dmpa*1	kp42_279.1104	F984	13C/12C,Na/H	282	18.0642431301744	18.0642431301744	21.772447413214397	21.45554628892196	20.38616701405316	18.0642431301744	18.0642431301744	22.215278970596504	18.0642431301744	18.0642431301744	18.0642431301744	18.0642431301744	F984	303.1034	386.21	1412	0.42491639671197456	0.7414308766169588	0.19744116695476766	0.940455778481186	0.6968161820906745	0.42264973081037405
C00042	279.1106639786327	Succinate_dmpa*1	kp42_279.1104	F1990	13C/12C*2,Na/H	611	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	21.019955588822043	F1990	304.106	387.66	3579	0.0	0.0				
C00042	279.1106639786327	Succinate_dmpa*1	kp42_279.1104	F255	M0,Na/H	88	15.311268829198228	15.311268829198228	15.311268829198228	15.311268829198228	17.633168537209023	15.311268829198228	24.13600256075426	24.04571542653935	20.491595049340106	15.311268829198228	15.311268829198228	15.311268829198228	F255	302.1001	387.53	58	0.0553025070224652	0.05530250702246541	0.4226497308103754	0.024160469586555985	0.4226497308103754	0.024160469586555985
C00042	279.1106639786327	Succinate_dmpa*1	kp42_279.1104	F10010	13C/12C,M+H+	2743	21.86140087911927	15.676342848742795	25.2561015523015	25.09909720701929	24.48454630407901	15.676342848742795	24.610320613279917	24.246042631545063	18.64805828157192	21.525947600721647	23.30106186213641	21.791882881498363	F10010	281.1214	386.21	27	0.6530984333101935	0.9063116144217948	0.8962690252749146	0.6714447789475608	0.8523007945170564	0.8948651218869278
C00122	438.17912795726534	Fumarate_dmpa*2	kp2975_438.1782	F68642	13C/12C*4,ACN	19635	17.098640962459708	23.108075301930427	23.933764091141857	23.42714317271608	23.75397026705385	17.098640962459708	17.098640962459708	17.098640962459708	17.098640962459708	23.40551376278695	17.098640962459708	17.098640962459708	F68642	484.2237	396.72	372	0.10105858529395663	0.561319541136192	0.5018631832808026	0.1851852232097214	0.9886023200013955	0.4226497308103747
